# filename,threshold,total,tp,tn,fp,fn,sig,fmeas,prec,reca
data/deid_t2_mr-m8-r12.txt,0.3,170200,10722,88408,70144,926,unknown,0.2318,0.1326,0.9205
data/deid_t2_mr-m8-r13.txt,0.3,170200,10777,87285,71267,871,unknown,0.2301,0.1314,0.9252
data/deid_t2_mr-m8-r14.txt,0.3,170200,10806,86138,72414,842,unknown,0.2278,0.1298,0.9277
data/deid_t2_mr-m8-r15.txt,0.3,170200,10894,85162,73390,754,unknown,0.2271,0.1293,0.9353
data/deid_t2_mr-m8-r16.txt,0.3,170200,10901,84283,74269,747,unknown,0.2252,0.1280,0.9359
data/deid_t2_mr-m8-r17.txt,0.3,170200,10953,83383,75169,695,unknown,0.2241,0.1272,0.9403
data/deid_t2_mr-m8-r18.txt,0.3,170200,10961,82084,76468,687,unknown,0.2213,0.1254,0.9410
data/deid_t2_mr-m9-r10.txt,0.3,170200,10922,85228,73324,726,unknown,0.2278,0.1296,0.9377
data/deid_t2_mr-m9-r11.txt,0.3,170200,11028,83881,74671,620,unknown,0.2266,0.1287,0.9468
data/deid_t2_mr-m9-r12.txt,0.3,170200,11111,82543,76009,537,unknown,0.2250,0.1275,0.9539
data/deid_t2_mr-m9-r13.txt,0.3,170200,11154,81262,77290,494,unknown,0.2229,0.1261,0.9576
data/deid_t2_mr-m9-r14.txt,0.3,170200,11179,79845,78707,469,unknown,0.2202,0.1244,0.9597
data/deid_t2_mr-m9-r15.txt,0.3,170200,11252,78894,79658,396,unknown,0.2194,0.1238,0.9660
data/deid_t2_mr-m9-r16.txt,0.3,170200,11306,77861,80691,342,unknown,0.2182,0.1229,0.9706
data/deid_t2_mr-m9-r17.txt,0.3,170200,11362,76786,81766,286,unknown,0.2169,0.1220,0.9754
data/deid_t2_mr-m9-r18.txt,0.3,170200,11357,75508,83044,291,unknown,0.2142,0.1203,0.9750
